Time      JOB

0         Idle
0         J11
4         Idle
5         J21
6         J31
8         J41
9         Idle
10        J51
11        J61
12        Idle
19        Idle
20        J12
24        Idle
25        J22
26        J71
28        J81
34        Idle
35        J32
37        J42
39        Idle
40        J13
44        Idle
45        J23
46        Idle
59        Idle
60        J14
64        J52
65        J24
66        J33
68        J43
69        J62
74        Idle
75        J72
77        J82
79        Idle
80        J15
84        Idle
85        J25
94        Idle
95        J34
97        J44
99        Idle
100       J16
104       Idle
105       J26
109       Idle
110       J53
111       J63
119       Idle
120       J17
124       Idle
125       J27
126       J35
128       J45
129       J73
131       J83
139       Idle
140       J18
144       Idle
145       J28
154       Idle
155       J36
157       J46
159       Idle
160       J19
164       J54
165       J29
166       J64
174       Idle
175       J74
177       J84
179       Idle
180       J110
184       Idle
185       J210
186       J37
188       J47
199       Idle
200       J111
204       Idle
205       J211
209       Idle
210       J55
211       J65
214       Idle
215       J38
217       J48
219       Idle
220       J112
224       Idle
225       J212
226       J75
228       J85
239       Idle
240       J113
244       Idle
245       J213
246       J39
248       J49
259       Idle
260       J114
264       J56
265       J214
266       J66
274       Idle
275       J310
277       J410
278       J76
280       J115
284       J86
286       J215
One Hyper-period complete
Task 1 : Expected no.of exec = 15, no.of times exec = 15 No deadlines missed
Task 2 : Expected no.of exec = 15, no.of times exec = 15 No deadlines missed
Task 3 : Expected no.of exec = 10, no.of times exec = 10 No deadlines missed
Task 4 : Expected no.of exec = 10, no.of times exec = 10 No deadlines missed
Task 5 : Expected no.of exec = 6, no.of times exec = 6 No deadlines missed
Task 6 : Expected no.of exec = 6, no.of times exec = 6 No deadlines missed
Task 7 : Expected no.of exec = 6, no.of times exec = 6 No deadlines missed
Task 8 : Expected no.of exec = 6, no.of times exec = 6 No deadlines missed
